Japanese;US English;French;German;
"そのお姿を見ていると、ハイラルに伝わる
古の勇者を思い出します";"In Hyrule, countless tales are told
of the ancient hero...and your
deeds bring them all to mind.";"Vous me rappelez le Héros des
temps anciens dont parlent tant
de légendes d'Hyrule.";"Dein Anblick erinnert mich an den
Helden aus alter Zeit, von dem die
Legenden Hyrules berichten...";
"貴方に、ハイラルを創りたまいし神々の
祝福があらんことを";"May the graces of the great
goddesses who shaped Hyrule bear
you on your way.";"Que les déesses créatrices d'Hyrule
veillent sur vous et vous accordent
leur bénédiction.";"Möge der Segen der Göttinnen
von Hyrule dich begleiten!";
"ここより北東にある
精霊ラネールが守りし地に・・・";"Northeast of here, in the lands
guarded by the spirit Lanayru...";"Au nord-est d'ici se trouvent
les terres que protège L'Esprit
de la lumière Lanelle...";"Das Land im Nordosten wird
vom Lichtgeist Ranelle behütet.";
"最後の影の結晶石
必ず手に入れるんだぞ！";"You make sure to get that last
Fused Shadow, now!";"Tu dois absolument trouver le
dernier cristal d'ombre!";"Und jetzt... besorgst du mir
den letzten Schattenkristall...";
"クククッ
またな！";"Eee hee! See you later!";"Ksh ksh ksh!
A plus!";"Hehehe... Man sieht sich!";
"我が名は　ラネール";"My name is Lanayru.";"Mon nom est Lanelle.";"Mein Name ist Ranelle.";
"汝によって、我ら光の精霊は
再び、このハイラルに蘇ることができた";"Your efforts have at last restored
each of us light spirits in Hyrule.";"Grâce à toi, les Esprits de la
lumière ont retrouvé leur place
en le Royaume d'Hyrule.";"Durch deine Hilfe konnten wir
Lichtgeister in Hyrule wieder zum
Leben erweckt werden.";
"神に選ばれし勇者よ";"O hero chosen by the gods...";"Ô toi, héros élu des déesses...";"Nun, Auserwählter...";
"汝が求めし黒き力は";"The dark power that you seek...";"Le sombre pouvoir dont tu es à
la recherche...";"Die dunkle Macht,
nach der du suchst...";
"ハイリア湖の
水底に眠る　神殿の中に・・・";"It waits in a temple set in the bed
of Lake Hylia.";"Ce terrible pouvoir repose au sein
du temple au fond du lac Hylia...";"...befindet sich in einem
Schrein am Grunde des
Hylia-Sees.";
"・・・しかし、決して忘れてはならぬ";"...But before seeking it, you must
now bear witness to something...
and never forget it.";"... Cependant, n'oublie pas ceci...";"Nur eins darfst du
niemals vergessen...";
"それは、我らが神の命により
封じ込めた禁断の力であることを・・・";"You must know that it was the will
of the goddesses that we lock away
the forbidden power...";"Les déesses nous avaient confié la
tâche de sceller ce pouvoir interdit
afin que nul ne l'utilise...";"Diese Kraft wurde von den
Göttinnen mit einem Bann belegt
und dem Zugriff Sterblicher entzogen...";
"混沌とし何もない世界に　神々は降臨し
生命と秩序を造られ";"When all was chaos, the goddesses
descended and gave order and life
to the world.";"Dans un monde où rien n'existait
d'autre que le chaos, les déesses
vinrent et créèrent vie et ordre.";"Einst stiegen die Göttinnen auf die
wüste Erde hinab, und erst durch
Ihr Wirken entstanden Leben und
Ordnung in Hyrule.";
"そして、全ての者達に　平等に力を与え
天へお戻りになられた";"They granted power equally to all
who dwelt in the light, and then
returned to the heavens.";"Elles allouèrent du pouvoir en
égale proportion à toutes les
créatures, puis regagnèrent
les cieux.";"Sodann verteilten die Göttinnen
die Macht gerecht unter den Lebe-
wesen dieser Welt und kehrten zu-
rück in die Himmel.";
"神々が最初に降り立った地は
聖地と呼ばれ";"The lands where the goddesses
descended came to be known as
the Sacred Realm.";"Le lieu que les déesses foulèrent
quand elles descendirent des cieux
était appelé la terre sacrée.";"Die Orte aber, an denen die
Göttinnen auf die Erde Hyrules
hinabgestiegen waren, galten
forthin als heilige Stätten.";
"世界は　長きにわたり
信心深い者達の心で　平安であった…";"For ages, the people lived at ease,
content in mind and body...";"Les siècles passèrent et toutes les
créatures, pétries de sagesse et au
cœur pur, vivaient en paix...";"Lange Zeit lebten weise Völker
in Frieden und Wohlstand auf
der Erde...";
"しかし、やがて聖地ハイラルを巡り
争いが起こった";"But soon, word of the Sacred Realm
spread through Hyrule, and a great
battle ensued...";"Cependant, l'existence de cette
terre sacrée finit bientôt par se
savoir dans tout Hyrule... et elle
devint source de conflits.";"...doch schließlich entbrannten
bittere Kämpfe um die Herrschaft
über die heiligen Stätten Hyrules.";
"人々の中に、魔術に長けた者達が現れ";"Among those living in the light,
interlopers who excelled at magic
appeared.";"Des êtres qui maîtrisaient les arts
magiques firent leur apparition.";"Einige entdeckten die Kraft der
Magie, lernten diese zum eigenen
Vorteil einzusetzen...";
"強力な魔力によって
聖地を治めようとした";"Wielding powerful sorcery, they
tried to establish dominion over
the Sacred Realm.";"Ils usèrent de leurs terribles
pouvoirs magiques pour tenter
d'étendre leur joug sur la terre
sacrée.";"...und versuchten, mit ihrer Hilfe
die Kontrolle über die heiligen
Stätten zu erlangen.";
"しかし、神は　我ら光の精霊を遣わし";"It was then that the goddesses
ordered us three light spirits to
intervene.";"Alors les déesses nous envoyèrent,
nous, les Esprits de la lumière.";"Schließlich schickten die Göttinnen
Hyrules uns, die Lichtgeister,
auf die Erde hinab...";
"その者達の巨大なる魔力を　封じこませたのだ";"We sealed away the great magic
those individuals had mastered.";"Nous scellâmes alors hors de
portée de tous cette magie à
l'incommensurable puissance.";"...und es gelang uns, die starke
Magie zu bannen, derer sich jene
bedient hatten.";
"そして、その魔力こそが";"You know this magic...";"Vous connaissez cette magie...";"Der Urquell dieser Magie jedoch...";
"黒き力・・・影の結晶石である";"It is the dark power you seek...
the Fused Shadow.";"Cette puissance obscure... n'est
autre que le cristal d'ombre.";"...ist jene dunkle Macht:
Der Schattenkristall!";
"神に選ばれし勇者よ、心するがよい";"O hero chosen by the goddesses...
Beware...";"Héros élu des déesses, prends
garde...";"Darum sei bereit,
Auserwählter!";
"力というものが持つ危うさを知らぬ者は
やがてその力に、支配される";"Those who do not know the danger
of wielding power will, before long,
be ruled by it.";"L'imprudent qui se saisit d'un tel
pouvoir bien souvent ne tarde pas
à tomber sous son emprise...";"Derjenige, der nichts von den
Gefahren weiß, die seiner Kraft
innewohnen... wird am Ende
selbst von ihr beherrscht.";
"それを、忘れてはならぬ・・・";"Never forget that...";"N'oublie jamais cette terrible
vérité...";"Das, Auserwählter, vergiss niemals!";
"汝が求めし黒き力は
ハイリア湖の水底に眠る神殿の中に・・・";"The dark power that you seek is
within the sleeping Lakebed Temple
in Lake Hylia...";"Le terrifiant pouvoir dont tu es en
quête repose au sein du temple
caché au fond du lac Hylia...";"Die Macht, nach der du suchst,
befindet sich im Seeschrein
am Grund des Hylia-Sees.";
"これは、ゾーラ族の子どもじゃないか！
ワシの専門外じゃよ！";"That is a Zora child! This is beyond
my expertise! Hmmmph!";"Mais vous voyez bien que c'est un
enfant Zora! C'est complètement
en dehors de ma compétence!";"Hey! Das ist doch ein Zora!
Damit kenne ich mich nicht aus!";
"先生！
このままじゃ、この子は・・・";"Doctor, wait! If something isn't
done, this child will...";"Docteur! Si rien n'est fait pour
sauver cet enfant, il va...";"Herr Doktor!
Ohne Ihre Hilfe wird dieses Kind...";
"困ったねぇ～
やっぱり、人間の医者じゃ無理か・・・";"Well, this isn't good. A human
doctor won't do, huh...";"Voilà qui ne nous arrange pas!
Apparemment, un docteur humain
ne fait pas l'affaire...";"Hmmm...
Ein Arzt für Menschen kann uns
wahrscheinlich wirklich nicht
helfen...";
"そういや前に、オルディンにある
カカリコ村の牧師が、ゾーラ族やゴロン達の
治療をしているって、聞いたことがあるよ！";"That old coot reminded me,
though... I've heard of a shaman in
Kakariko Village, in the Eldin lands,
who's tended Gorons and Zoras.";"Il nous reste une chance.
J'ai entendu parler d'un prêtre
à Cocorico, du côté d'Ordinn, qui
soignerait des Zoras et des Gorons.";"...aber ich habe gehört, in Eldin
gibt es ein Dorf namens Kakariko.
Der Priester dort kann auch Zoras
und sogar Goronen heilen!";
"それは本当ですか？
じゃあ、その村へ連れていけば・・・";"Is that true? Perhaps if we take him
there...";"C'est vrai?
Alors, si on l'amène là-bas...";"Wirklich?!?
Wenn wir den Jungen also
in dieses Dorf bringen, dann...";
"道中は危険だ！


可憐な少女が困っているのを
見過ごすわけにはいかぬ

我々がお供しようではないか！";"Inadvisable! Too dangerous!



But we can't turn a blind eye to a
pretty girl in need, either.


Yes, we'd better escort you!
Am I right, boys?!";"Impossible!
La route est trop dangereuse!


Mais il est impossible à la garde
de rester les bras croisés quand
une jeune demoiselle est en
détresse!
Nous allons vous escorter!
Pas vrai les gars?";"Aber der Weg dorthin
ist sehr gefährlich!


Wir können nicht zulassen,
dass hübsche Mädchen sich
in solche Gefahr begeben...

...deshalb werden wir euch
begleiten!";
"よかったじゃないか";"Well, isn't that nice.";"Mais c'est pas beau ça?
Vous tombez à pic!";"Wunderbar!";
"カカリコ村に行くには、怪物だらけの平原を
２つも越えなきゃならないけど

これで、安心だね";"To reach Kakariko, we've got to
cross two plains that are each
infested by dangerous beasts.

But we'll be safe now!";"Il faut traverser deux plaines
infestées de monstres pour
atteindre le village de Cocorico.

Mais avec des gars comme vous,
nous serons en sécurité!";"Der Weg nach Kakariko führt über
zwei Ebenen voller Monster...
Aber wenn die Soldaten Hyrules
uns begleiten...
...kann uns gar nichts passieren!";
"腰抜けどもめ！
二度と来るな！";"Cowards! Don't EVER show your
faces here again!";"Foies jaunes! Ne remettez plus
JAMAIS les pieds ici!";"Ihr Feiglinge!
Lasst euch hier nie
wieder sehen!";
"おやっ！";"Oh my!";"Oh, mais que voilà?";"Nanu!";
"若い剣士さんが一人
残っているじゃないか";"Looks like we've got one young
swordsman left!";"Il semblerait qu'il nous reste
un jeune bretteur!";"Da ist ja noch ein junger
Kämpfer übrig...";
"この剣士さんがお供をしてくれるらしいから
すぐに支度しな！";"And not only that, but it looks like
this brave young man will escort us,
so get ready to go, honey. Pronto!";"Et en plus, il a l'air de vouloir nous
offrir ses services! Alors plus de
temps à perdre, il faut se préparer!";"Ich glaube, er will uns
begleiten! Los, mach
schnell alles bereit!";
"あの娘の知り合いなんだね・・・";"You know that girl, don't you?";"Tu connais cette fille, n'est-ce pas?";"Du bist wohl ein Freund
von diesem Mädchen...?";
"今は名前も思い出せないんだよ
残念だけど・・・";"It's a real shame... She can't even
remember her own name right now.";"Elle ne se souvient même pas de
son nom... C'est bien triste...";"Im Moment kann sie sich nicht
einmal an ihren Namen erinnern...
Das arme Ding!";
"いい娘じゃないか・・・";"Bless her heart...";"Une si gentille fille...";"Dabei ist sie so ein
tapferes Mädchen...";
"道で倒れていた、この子を
危険を承知で、必死に助けようとしてるのさ";"She found this poor boy collapsed
in the road, so she did all she
could to save him.";"Elle a trouvé ce jeune garçon
évanoui sur la route, et elle
a lutté de toutes ses forces
pour le sauver.";"Als dieser Zora auf der Straße
lag, hat sie alles auf sich ge-
nommen, um ihn zu retten...
ohne auf die Gefahr zu achten!";
