Japanese;UK English;French;German;
"[Link]、ヤツの力は強大だが
恐れる事はない！

お前のマスターソードには
邪悪を退ける力が宿っているのだ

ヤツの攻撃が来ても
恐れずに剣で打ち返せ！
・・・必ず勝機は見つかるはずだ！";"[Link], your foe may be fierce
and fearsome, but do not be afraid!


Forged deep within the steel of your Master
Sword is the power to repel evil...


Even as his ball of fell magic bears down
on you, stand your ground and knock it
back with your sword!

...I am sure you will have a shot at victory!";"[Link], ton adversaire est un
ennemi redoutable, mais n'aie pas peur!


Excalibur a le pouvoir de repousser le mal.
Laisse ton ennemi s'approcher sans crainte
et affronte-le avec ton épée! Tu as toutes
les chances de gagner cette bataille...";"[Link], seine Kraft ist zwar
erdrückend, aber du darfst keine
Angst haben!

Deinem Master-Schwert wohnt die Stärke
inne, das Böse vom Antlitz dieser Welt
zu verbannen!

Wenn er dir seinen Angriff entgegen-
schleudert, dann musst du ihn tapfer
mit deinem Schwert zurückschlagen!

Du wirst mit Sicherheit
eine Siegeschance erkennen!";
"その昔、神々の力が眠るといわれた
王国がありました。";"Long ago, there existed a kingdom where
a golden power lay hidden.";"Il y a bien longtemps,
existait un Royaume où l'on disait 
cachés les pouvoirs des Dieux.";"Es war einmal vor langer Zeit in einem weit
entfernten Königreich, von dem man sagte,
die Kräfte der Götter würden in ihm ruhen.";
"その国は、緑豊かな　美しいところでしたが";"It was a prosperous land blessed with green
forests, tall mountains, and peace.";"C'était une province splendide, 
verdoyante et fertile.";"Dieses Land war gesegnet mit der Frische
lebendigen Grüns und idyllischer Natur.";
"悪しき者に　目をつけられ
神々の力を　奪われてしまいました。";"But one day a man of great evil found the
golden power and took it for himself...";"Mais un beau jour, l'attention d'un être
maléfique se porta sur ce Royaume.
Et il déroba les pouvoirs des Dieux. ";"Aber das Böse hatte sein Auge darauf
gerichtet und raubte die Kräfte der Götter.";
"悪しき力により王国は、闇につつまれ";"With its strength at his command, he
spread darkness across the kingdom.";"Ses forces maléfiques plongèrent la
province dans les Ténèbres.";"Durch diese dunklen Mächte wurde das
Königreich in die Finsternis gestürzt.";
"命運ここに尽きたかと思われた　その時";"But then, when all hope had died, and the
hour of doom seemed at hand...";"Alors que le sort du Royaume
semblait scellé... ";"Doch als es so aussah,
als wäre das Ende gekommen...";
"緑衣を　身にまとった若者が
何処からともなく　現れました。";"...a young boy clothed in green appeared
as if from nowhere.";"Un jeune homme, tout de vert vêtu,
surgit de nulle part.";"...tauchte plötzlich ein Jüngling, gewandet
im Grün der Wiesen, aus dem Nichts auf!";
"若者は　退魔の剣をふるい　悪しき者を封じ
王国に　光を取り戻したといいます。";"Wielding the blade of evil's bane, he sealed
the dark one away and gave the land light.";"Il brandit son épée magique,
fit taire l'être maléfique, 
et ramena la lumière dans la province.";"Der Jüngling schwang sein heiliges Schwert
und bannte damit das Böse. Das Licht der
Hoffnung erleuchtete das Königreich wieder.";
"時を越えてあらわれた若者を
民は「時の勇者」と呼び　称えました";"This boy, who traveled through time to save
the land, was known as the Hero of Time.";"Le peuple du Royaume appela ce jeune
homme qui avait traversé le Temps pour 
lui ramener la lumière le "Héros du Temps".";"Das Volk nannte den Jüngling, der die Gren-
zen der Zeit überwunden hatte, den "Helden
der Zeit" und überlieferte seine Geschichte.";
"若者の話は、言の葉で語り継がれ
やがて　伝説となった頃・・・";"The boy's tale was passed down through
generations until it became legend...";"L'histoire du jeune garçon se transmit
de génération en génération, jusqu'à devenir
une Légende...";"Generationen vergingen und seine
Abenteuer warfen sich mit der Zeit
den Mantel der Legende über.";
"王国に　再び災いの嵐が吹き荒れました。";"But then...a day came when a fell wind
began to blow across the kingdom.";"Quand un jour un nouveau malheur s'abattit
sur le Royaume. ";"Doch dann wurde das Königreich erneut
in den Sog der Tragödie gezogen.";
"勇者により　封じられたかに見えた
あの　悪しき者が";"The great evil that all thought had
been forever sealed away by the hero...";"L'être maléfique que le Héros semblait avoir
réduit au silence...";"Das Böse, das der Jüngling vermeintlich
gebannt zu haben schien...";
"地の底より　這い出してきたのです。";"...once again crept forth from the depths of
the earth, eager to resume its dark designs.";"ressurgit soudainement du plus profond
de la terre.";"...kroch einmal mehr aus den
Eingeweiden der Erde hervor.";
"王国の民は、時の勇者が
再び　現れてくれると信じていました。";"The people believed that the Hero of Time
would again come to save them.";"Le peuple voulut croire que le
Héros viendrait à nouveau à son secours. ";"Das Volk des Königreiches glaubte
fest daran, dass der Held der Zeit
zurückkommen würde.";
"しかし・・・
勇者が　現れることはありませんでした。";"...But the hero did not appear.";"Mais...
le Héros ne reparut point.";"Doch kehrte er nicht wieder...";
"邪悪な力を　前にした彼らは
なすすべもなく　ただ祈るばかり";"Faced by an onslaught of evil, the people
could do nothing but appeal to the gods.";"Et face aux forces maléfiques, le peuple
n'eut d'autre recours que la prière. ";"Hilflos standen die Menschen dem Bösen
gegenüber. Ihnen blieben nur ihre Gebete.";
"ついに、みずからの　命運を
神々に、ゆだねることにしました。";"In their last hour, as doom drew nigh, they
left their future in the hands of fate.";"Il remit donc son destin
entre les mains des Dieux. ";"Schließlich blieb ihnen kein anderer
Ausweg, als ihr Schicksal in die Hände
der Götter zu legen.";
"その後　王国が　どうなったのか・・・
知るものはいません。";"What became of that kingdom...?
None remain who know.";"Et nul ne sait ce qu'il advint 
du Royaume...";"Was danach aus dem Königreich wurde,
davon weiß heute niemand mehr zu
berichten...";
"国の記憶は　消えようとも
伝説は風に乗り　今も息づいています。";"The memory of the kingdom vanished, but
its legend survived on the wind's breath.";"Si aucun souvenir de la province ne
demeure, le souffle de la Légende ne s'est
pas encore tout à fait tu.";"Die Erinnerungen an das Königreich mögen
verblassen, aber die Legende wird vom
Wind getragen und ist noch nicht vergessen.";
"ある島では　男の子が大きくなると
緑の衣を着せ、祝う風習があります。";"On a certain island, it became customary to
garb boys in green when they came of age.";"Et dans une petite île, on continue de fêter
le jour où les garçons atteignent les douze
ans en leur faisant revêtir un habit vert.";"Es gibt eine Insel auf der es Brauch ist,
einem Jungen ein grünes Gewand zu über-
reichen, so er ein bestimmtes Alter erreicht.";
"草原にわたる　新緑の風を　心にまとい
旋風のごとく　剣をうならせ「闇」を絶つ";"Clothed in the green of fields, they aspired
to find heroic blades and cast down evil.";"Le cœur frais comme le vent des prairies,
ils font alors siffler leurs lames comme en
un tourbillon pour briser les Ténèbres.";"Der Wind, der über das Grün der Wiesen
streicht, erfüllt sein Herz und wie ein Wirbel
schwingt er sein Schwert gegen das Dunkel!";
"あの　伝説の若者のように
勇気を知る者になれと　願いをこめ・・・";"The elders wished only for the youths to
know courage like the hero of legend...";"Et ils prient pour montrer dans leur
jeunesse autant de courage que le Héros
de la Légende... ";"Der Wunsch, dass er so wird wie der Held
aus der Legende, voller Mut und Taten-
drang, liegt wohl diesem Brauch zugrunde...";
"人々に語り継がれる　神話の中に
こんな話が　あります。";"This is but one of the legends of which the
people speak...";"Il est une histoire mythique qu'on raconte,
parmi tant d'autres légendes...";"Dies ist eine der vielen Sagen und
Legenden, die sich die Menschen
überliefern.";
"[C] で振る　🡄 [AnalogHorizontal] 🡆 でリズムの変更";"Conduct with [C] .
Change rhythm with 🡄 [AnalogHorizontal] 🡆 .";"Jouez votre morceau avec [C]  et changez
le rythme avec 🡄 [AnalogHorizontal] 🡆 .";"Mit Hilfe von [C]  schwingen.
Mit Hilfe von 🡄 [AnalogHorizontal] 🡆  den Takt ändern.";
"風の唄を振った！";"You conducted the Wind's Requiem!";"Vous avez joué
la Mélodie du Vent!";"Du hast das Lied des Windes gespielt!";
"疾風の唄を振った！";"You conducted the Ballad of Gales!";"Vous avez joué
le Requiem de la Tornade!";"Du hast den Kanon des Sturmes gespielt!";
"操りの唄を振った！";"You conducted the Command Melody!";"Vous avez joué
l'Air du Marionnettiste!";"Du hast die Sonate des Puppenspielers
gespielt!";
"地神の唄を振った！";"You conducted the Earth God's Lyric!";"Vous avez joué
l'Hymne du Dieu de la Terre!";"Du hast die Hymne des Terragottes
gespielt!";
"風神の唄を振った！";"You conducted the Wind God's Aria!";"Vous avez joué l'Hymne du Dieu du Vent!";"Du hast die Hymne des Zephirgottes
gespielt!";
"昼夜の唄を振った！";"You conducted the Song of Passing!";"Vous avez joué
le Chant du Soleil!";"Du hast die Kleine Tag- und Nachtmusik
gespielt!";
"[C] で振る　🡄 [AnalogHorizontal] 🡆 でリズムの変更";"Conduct with [C] .
Change rhythm with 🡄 [AnalogHorizontal] 🡆 .";"Utilisez votre Baguette avec [C]  et
changez le rythme avec 🡄 [AnalogHorizontal] 🡆 .";"Mit Hilfe von [C]  schwingen.
Mit Hilfe von 🡄 [AnalogHorizontal] 🡆  den Takt ändern.";
"[C] で振る";"Conduct with [C] .";"Utilisez votre baguette avec [C] .";"Mit Hilfe von [C]  schwingen.";
"この方向にこれ以上行くのは危険だ！
ターンして戻るぞ！";"It is too dangerous to go any further
in this direction! We must turn back!";"Il est dangereux de s'aventurer plus loin
dans cette direction.
Faisons demi-tour!";"Hier weiterzufahren könnte gefährlich
werden! Lass uns abdrehen!";
"帆は手に入ったか？


グズグズしているヒマはないぞ
早く探してくるのだ！";"Did you get a sail?



There is no time to lose!
You must find one, quickly!";"As-tu trouvé une Voile?
Dépêche-toi d'aller en chercher une!
Il n'y a pas de temps à perdre.";"Hast du denn das Segel schon gefunden?



Nein? Warum vertrödelst du dann wertvolle
Zeit? Schicke dich an, es schnell zu finden!";
"何をグズグズしている
早く船の横に近づいて[A] （のる）を押すのだ";"Why do you hesitate so?
Quickly, come next to me and then
press [A]  to climb in.";"Cesse de lambiner!
Viens sur le côté du bateau et appuie
sur [A]  (Monter).";"Was verschwendest du hier kostbare Zeit?
Tritt an die Seite des Bootes heran und
drücke [A]  (An Bord)!";
"おっ、その顔は・・・
さては　帆を手に入れたのだな？

よし、では船の操縦法を教えよう";"Oh! That look in your eye... So, you've
found yourself a sail, have you?


Very well! Then I shall teach you the
art of sailing!";"Quelle mine réjouie!
Tu as donc trouvé une Voile?
Très bien! Je vais donc t'expliquer
comment diriger un bateau.";"Oh, du strahlst ja bis über beide Ohren!
Hast du etwa das Segel gefunden?


Sehr schön! Dann will ich dir mal
die Bootssteuerung beibringen!";
"船の横に近づいて[A] （のる）を押せば
船に乗ることができる

手に入れた帆を[Y] [Z] [X] にセットして使うと
船に帆が張れる

船は風を受けて進むので
船の後ろにでる🡅 の風向き表示をよく見て
帆に追い風が当たるよう[Analog] を動かし進むのだ
帆を閉じたい時は、[A] で閉じるから
スピードを調整したい時は　やってみるのだ";"Come next to my hull and press [A]  to
climb aboard.


Set the sail you got to [Y] , [Z] , or [X] ,
and press that same button to hoist it.


The sail will catch the wind, which will
push the boat forward. The 🡅  that
appears behind me indicates wind direction.

Use [Analog]  to steer. If you wish to move
quickly, you should keep the wind blowing
directly into the sail. You can always
press [A]  to put away the sail.
Try it when you want to adjust your speed.";"Approche-toi du bateau et appuie
sur [A]  (Monter), pour monter à bord.


Assigne la Voile que tu as trouvée
à [Y] , [Z]  ou [X]  et appuie sur le
bouton choisi pour la hisser.

Le bateau marche grâce à la force du Vent.
Surveille le signe 🡅 , derrière le bateau; il
indique la direction du Vent. Utilise [Analog]  pour
faire en sorte que le Vent gonfle ta Voile.
Pour abattre ta Voile, appuie sur [A] .
Essaie également d'appuyer sur ce
bouton quand tu souhaites ajuster ta
vitesse.";"Nähere dich dem Boot von der Seite und
drücke [A]  (An Bord), um an Bord des
Bootes zu gehen.

Wenn du das erhaltene Segel auf [Y] [Z] [X] 
legst und benutzt, wird es auf dem Boot
gesetzt.

Das Boot wird vom Wind im Segel
angetrieben. Behalte deswegen immer die
Windanzeige 🡅  hinter dem Boot im Auge!

Manövriere das Boot mit Hilfe von [Analog]  so,
dass es immer Rückenwind hat.


Möchtest du das Segel einholen, drücke [A] .
Probiere es ruhig auch mal, wenn du
nur langsamere Fahrt machen willst.";
